location,Langsa,Langsa,Langsa,Langsa
lat,4.66656,4.66656,4.66656,4.66656
lon,97.96875,97.96875,97.96875,97.96875
asl,18.700,18.700,18.700,18.700
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Langsa Temperature [2 m elevation corrected],Langsa Precipitation Total,Langsa Wind Speed [10 m],Langsa Wind Direction [10 m]
20201030T1500,30.456547,0.0,8.12197,77.19573
20201030T1600,30.576548,0.0,7.771331,76.6075
20201030T1700,29.886547,0.0,7.172949,72.47443
20201030T1800,28.446547,0.0,5.154415,65.224846
20201030T1900,27.666548,0.0,4.802999,77.00538
20201030T2000,27.146547,0.0,5.8048253,97.125015
20201030T2100,26.806547,0.0,5.00128,120.25643
20201030T2200,26.556547,0.0,4.6102495,128.6598
20201030T2300,26.376547,0.0,4.39436,145.00798
20201031T0000,26.106546,0.0,4.1046314,142.12502
20201031T0100,25.846548,0.0,3.8268526,131.18591
20201031T0200,25.546547,0.0,3.8268526,131.18591
20201031T0300,25.086548,0.0,3.8939953,146.30994
20201031T0400,24.706547,0.0,3.0758414,159.44395
20201031T0500,24.526546,0.0,2.4149535,153.43495
20201031T0600,24.476547,0.0,1.5273507,135.0
20201031T0700,25.476547,0.0,2.9024127,97.125015
20201031T0800,27.566547,0.0,2.0991426,149.03624
20201031T0900,28.776546,0.0,3.319036,130.60129
20201031T1000,28.736547,0.0,3.5455887,113.96249
20201031T1100,28.896547,0.4,4.452954,104.03624
20201031T1200,28.866547,0.6,5.0528407,94.08562
20201031T1300,29.586548,0.2,4.32,89.99999
20201031T1400,29.616547,0.0,4.68,89.99999
20201031T1500,29.516546,0.0,5.771239,86.42367
20201031T1600,28.976547,0.0,5.506941,78.69006
20201031T1700,28.556547,0.2,4.73506,81.25384
20201031T1800,27.706547,0.0,4.452954,75.96376
20201031T1900,27.056547,0.0,3.319036,77.47118
20201031T2000,26.836548,0.0,5.0911684,315.0
20201031T2100,26.586548,0.0,5.8048253,299.74487
20201031T2200,26.166548,0.0,5.00128,300.25644
20201031T2300,25.796547,0.0,4.829907,296.56506
20201101T0000,25.446547,0.0,5.00128,300.25644
20201101T0100,25.126547,0.0,6.1094027,315.0
20201101T0200,25.066547,0.0,8.0899935,327.72437
20201101T0300,24.936546,0.0,9.511088,330.5241
20201101T0400,24.766546,0.0,9.19939,329.42078
20201101T0500,24.736547,0.0,8.942214,319.8991
20201101T0600,24.676548,0.0,8.942214,310.10092
20201101T0700,24.676548,0.0,7.729527,297.75854
20201101T0800,25.486547,0.0,6.1305785,310.23636
20201101T0900,27.186546,0.0,4.8433046,311.98724
20201101T1000,28.166548,0.8,5.1165614,309.2894
20201101T1100,28.296547,1.3,5.3517847,317.72632
20201101T1200,28.126547,0.6,8.854829,333.43497
20201101T1300,29.006548,0.0,11.503113,339.8637
20201101T1400,28.986547,0.0,11.966953,338.83875
20201101T1500,28.806547,0.0,11.770403,336.57132
20201101T1600,28.506548,0.0,11.923557,331.11343
20201101T1700,28.596548,0.0,12.7279215,331.26022
20201101T1800,27.256548,0.0,12.287555,328.17255
20201101T1900,26.566547,0.0,12.10157,329.62088
20201101T2000,26.196547,0.0,10.739832,320.44034
20201101T2100,25.856546,0.0,9.726664,308.991
20201101T2200,25.486547,0.0,9.0,306.8699
20201101T2300,25.316547,0.0,9.220499,308.65982
20201102T0000,25.136547,0.0,10.296251,306.46924
20201102T0100,24.836548,0.0,11.384198,304.69516
20201102T0200,24.536547,0.0,11.384198,304.69516
20201102T0300,24.296547,0.0,11.592894,306.1582
20201102T0400,24.076548,0.0,11.304229,307.23483
20201102T0500,23.976547,0.0,11.304229,307.23483
20201102T0600,23.886547,0.0,10.883676,304.2157
20201102T0700,24.736547,0.0,10.383987,303.69006
20201102T0800,27.146547,0.0,12.979984,303.69006
20201102T0900,28.436546,0.0,13.104198,322.8153
20201102T1000,28.436546,0.4,14.336861,331.50436
20201102T1100,27.816547,0.9,15.0038395,329.7436
20201102T1200,27.706547,0.3,14.799459,318.9452
20201102T1300,29.286547,0.2,16.299694,313.21008
20201102T1400,27.976547,0.0,17.31746,313.3153
20201102T1500,29.336548,0.0,17.566378,314.16968
20201102T1600,29.346548,0.0,17.566378,314.16968
20201102T1700,29.006548,0.0,17.057314,315.8551
20201102T1800,27.616547,0.0,16.055355,317.72632
20201102T1900,26.546547,0.0,15.021105,315.971
20201102T2000,26.076548,0.0,10.464797,310.8151
20201102T2100,25.716547,0.0,9.1641035,315.0
20201102T2200,25.536547,0.0,7.8954163,313.1524
20201102T2300,25.606546,0.0,5.6002855,315.0
